Tiempo_Ejecucion,Complejidad,Tamaño_Tarea,Carga_Trabajo_R1,Experiencia_R1,Experiencia_Equipo,Claridad_Requisitos,Experiencia del Encuestado,Tipo_Tarea,Fase_Tarea,Cantidad_Recursos,Carga_Trabajo_R2,Experiencia_R2,Carga_Trabajo_R3,Experiencia_R3
190.81208919051406,2,2,3,5,5,3,Senior,Database,Transición/Implementación,3,1.0,4.0,1.0,4.0
117.95049215617063,5,2,2,3,4,1,Mid-Level,Análisis,Inicio/Conceptualización,2,3.0,5.0,,
92.19057497598315,5,21,3,5,2,5,Senior,Frontend,Transición/Implementación,1,,,,
134.20347278473187,4,8,1,5,2,2,Senior,DevOps,Mantenimiento,3,1.0,4.0,2.0,1.0
61.233204409007215,1,21,2,4,4,4,Senior,Documentación,Mantenimiento,2,2.0,4.0,,
122.57045970514454,4,13,1,1,5,1,Mid-Level,Frontend,Inicio/Conceptualización,2,2.0,1.0,,
112.23047367750041,3,21,2,1,4,5,Junior,Análisis,Transición/Implementación,1,,,,
127.58403370112939,4,5,3,4,1,5,Junior,Testing,Mantenimiento,2,1.0,2.0,,
151.12411436262022,5,1,2,2,2,2,Mid-Level,Testing,Transición/Implementación,1,,,,
114.14881472211773,1,3,2,4,2,5,Junior,Frontend,Mantenimiento,2,3.0,5.0,,
129.64009137632394,4,8,2,1,1,4,Mid-Level,DevOps,Transición/Implementación,3,2.0,1.0,2.0,1.0
118.85878356739398,2,8,3,1,1,2,Senior,Database,Inicio/Conceptualización,2,2.0,1.0,,
249.70545054064993,4,5,3,4,4,1,Senior,Análisis,Transición/Implementación,3,1.0,4.0,2.0,5.0
101.35531127110394,1,8,2,3,5,4,Senior,DevOps,Inicio/Conceptualización,3,1.0,2.0,1.0,4.0
161.0971964430157,3,3,3,1,2,1,Junior,Backend,Transición/Implementación,3,1.0,1.0,1.0,1.0
147.3408950088439,5,13,1,3,2,4,Mid-Level,Backend,Construcción/Desarrollo,3,2.0,3.0,2.0,2.0
93.28168373437903,5,1,2,3,4,5,Mid-Level,DevOps,Transición/Implementación,1,,,,
102.261791723794,4,21,3,5,2,1,Junior,Documentación,Inicio/Conceptualización,1,,,,
71.94650752791415,4,1,2,4,4,5,Mid-Level,Documentación,Mantenimiento,1,,,,
270.29705279916203,1,21,3,2,3,4,Senior,Análisis,Construcción/Desarrollo,3,3.0,1.0,1.0,3.0
124.67468817183577,2,21,3,3,2,3,Senior,Documentación,Inicio/Conceptualización,1,,,,
81.13170386636544,1,1,3,1,2,3,Senior,Frontend,Elaboración/Requisitos,3,2.0,4.0,2.0,5.0
87.6741629697156,1,2,2,4,4,3,Junior,Análisis,Construcción/Desarrollo,1,,,,
119.7694826053404,5,1,2,4,2,2,Senior,Testing,Mantenimiento,2,3.0,3.0,,
127.97697750432935,1,5,1,4,2,1,Senior,DevOps,Mantenimiento,1,,,,
91.81001541024696,2,13,1,4,5,5,Junior,Documentación,Construcción/Desarrollo,1,,,,
149.26728143559566,5,21,2,1,4,3,Senior,Testing,Mantenimiento,2,2.0,1.0,,
153.3992315029709,1,21,2,4,3,1,Junior,Análisis,Construcción/Desarrollo,1,,,,
159.77515149672544,2,13,3,4,1,2,Senior,Documentación,Transición/Implementación,2,3.0,5.0,,
132.87879228254755,1,2,1,3,4,1,Mid-Level,Análisis,Mantenimiento,2,2.0,3.0,,
123.06742504181882,3,21,2,2,5,5,Junior,DevOps,Elaboración/Requisitos,3,1.0,1.0,1.0,1.0
112.80904769639609,5,3,1,5,2,3,Junior,Documentación,Transición/Implementación,2,3.0,5.0,,
63.198051935152776,3,3,2,5,4,3,Mid-Level,Backend,Mantenimiento,2,1.0,2.0,,
117.40793372364243,3,1,3,2,1,4,Junior,Análisis,Construcción/Desarrollo,2,1.0,2.0,,
71.51150653047141,3,2,2,2,2,4,Mid-Level,Análisis,Construcción/Desarrollo,1,,,,
68.33553827457602,3,5,2,1,1,2,Mid-Level,Análisis,Transición/Implementación,1,,,,
173.4704249901221,1,5,2,3,2,4,Senior,Análisis,Mantenimiento,2,2.0,2.0,,
116.4774136881771,4,21,2,5,1,2,Junior,Testing,Transición/Implementación,1,,,,
180.1655969802718,2,3,3,1,2,4,Junior,Frontend,Construcción/Desarrollo,3,2.0,1.0,2.0,2.0
90.516806527471,5,3,2,2,1,4,Senior,Análisis,Elaboración/Requisitos,1,,,,
154.9036734560337,4,1,2,3,2,3,Junior,Testing,Mantenimiento,1,,,,
125.01243285691345,2,2,2,5,4,2,Mid-Level,DevOps,Elaboración/Requisitos,1,,,,
216.70282475929483,3,3,3,4,3,4,Junior,Análisis,Construcción/Desarrollo,3,1.0,4.0,1.0,3.0
152.47515819801228,5,3,2,1,5,1,Senior,Documentación,Elaboración/Requisitos,2,1.0,5.0,,
108.81819190426984,3,3,1,5,2,3,Junior,Documentación,Inicio/Conceptualización,1,,,,
171.71949545808312,1,21,1,3,2,2,Senior,Arquitectura,Elaboración/Requisitos,2,2.0,2.0,,
134.47784213869525,4,13,1,4,2,4,Mid-Level,Database,Construcción/Desarrollo,1,,,,
96.42994460652245,3,2,2,4,5,3,Senior,Documentación,Construcción/Desarrollo,1,,,,
97.57681430761077,3,5,2,1,2,1,Junior,Frontend,Transición/Implementación,1,,,,
190.40841762874783,4,5,3,4,4,2,Junior,Documentación,Transición/Implementación,3,3.0,4.0,2.0,4.0
101.76488929175137,4,2,1,1,5,2,Junior,DevOps,Transición/Implementación,1,,,,
132.48450838196467,5,13,2,5,2,1,Mid-Level,DevOps,Elaboración/Requisitos,1,,,,
75.43171098598492,3,21,2,2,1,4,Mid-Level,Análisis,Inicio/Conceptualización,1,,,,
100.92352995510826,4,21,2,5,4,2,Mid-Level,Análisis,Construcción/Desarrollo,1,,,,
203.98727371012905,4,21,2,4,5,5,Junior,DevOps,Construcción/Desarrollo,1,,,,
113.3313279150492,3,8,2,3,5,4,Mid-Level,Backend,Inicio/Conceptualización,2,2.0,3.0,,
152.7151210468841,4,8,2,4,2,1,Mid-Level,Database,Elaboración/Requisitos,3,2.0,3.0,1.0,4.0
85.57753180518493,2,5,1,4,2,4,Mid-Level,Database,Elaboración/Requisitos,1,,,,
173.63231796891068,5,21,3,1,2,3,Senior,Análisis,Construcción/Desarrollo,3,1.0,1.0,1.0,1.0
225.12132053434874,3,3,1,5,2,1,Senior,Backend,Mantenimiento,3,2.0,1.0,2.0,3.0
114.69560869623248,1,5,3,5,3,1,Junior,DevOps,Construcción/Desarrollo,1,,,,
176.21283013882697,4,3,2,2,4,2,Junior,Frontend,Transición/Implementación,3,1.0,2.0,1.0,2.0
111.25985865746034,3,2,2,2,4,3,Senior,DevOps,Transición/Implementación,2,3.0,2.0,,
106.54364570008313,5,3,1,4,3,3,Junior,Análisis,Transición/Implementación,1,,,,
97.74221401378814,4,21,1,2,1,1,Junior,Testing,Transición/Implementación,1,,,,
228.12956397666406,1,13,2,1,1,5,Senior,Backend,Construcción/Desarrollo,3,1.0,1.0,1.0,2.0
92.02974964795679,5,3,3,2,4,4,Senior,Database,Transición/Implementación,1,,,,
106.8069725076377,5,8,2,4,4,2,Mid-Level,Frontend,Elaboración/Requisitos,1,,,,
126.66623597582132,2,5,3,1,3,4,Senior,DevOps,Inicio/Conceptualización,1,,,,
70.34472888540373,5,2,3,3,3,3,Junior,Análisis,Construcción/Desarrollo,2,3.0,3.0,,
163.3697800150586,1,21,1,3,1,2,Mid-Level,Análisis,Elaboración/Requisitos,2,3.0,4.0,,
151.59363469785916,4,2,1,4,1,2,Junior,Frontend,Construcción/Desarrollo,1,,,,
213.1099487786111,2,1,1,3,2,1,Junior,Documentación,Inicio/Conceptualización,3,2.0,5.0,2.0,1.0
153.7670079271704,2,3,1,5,5,4,Junior,Database,Elaboración/Requisitos,1,,,,
172.84450560383905,4,8,3,3,2,3,Senior,Análisis,Construcción/Desarrollo,3,1.0,2.0,1.0,2.0
145.56579404090726,2,2,2,2,4,3,Mid-Level,Database,Construcción/Desarrollo,3,3.0,1.0,3.0,1.0
89.58043833309432,2,3,2,4,3,3,Senior,Análisis,Transición/Implementación,1,,,,
126.21208720973789,4,3,2,1,1,2,Senior,Análisis,Elaboración/Requisitos,1,,,,
165.10169068273544,5,13,2,5,2,5,Mid-Level,Backend,Transición/Implementación,3,2.0,2.0,1.0,4.0
80.48462668249189,2,21,2,1,1,3,Senior,Análisis,Mantenimiento,1,,,,
121.96791079459379,3,21,3,4,3,2,Senior,Documentación,Transición/Implementación,1,,,,
175.68409825513984,4,8,1,2,4,4,Junior,DevOps,Elaboración/Requisitos,1,,,,
135.589028958152,4,8,2,3,3,3,Senior,Análisis,Construcción/Desarrollo,2,3.0,5.0,,
159.20065299153052,2,13,2,4,3,4,Senior,Testing,Mantenimiento,3,1.0,4.0,1.0,5.0
203.84889785346948,4,5,3,1,5,2,Junior,Análisis,Construcción/Desarrollo,3,3.0,1.0,3.0,1.0
145.72344180843945,5,5,3,3,1,2,Senior,Backend,Construcción/Desarrollo,2,1.0,4.0,,
173.53064651608514,5,13,3,2,4,5,Senior,DevOps,Elaboración/Requisitos,2,2.0,3.0,,
83.26804295591158,5,1,3,4,5,3,Mid-Level,Documentación,Transición/Implementación,1,,,,
111.16342127632315,2,1,1,5,4,3,Junior,Documentación,Transición/Implementación,1,,,,
87.51964184004305,1,3,1,2,2,3,Senior,Backend,Transición/Implementación,1,,,,
127.52548245610876,2,3,2,2,2,5,Senior,Database,Inicio/Conceptualización,3,1.0,2.0,1.0,1.0
147.26833581911347,4,13,3,4,2,5,Mid-Level,DevOps,Transición/Implementación,2,2.0,4.0,,
92.1007476196867,2,3,2,5,3,4,Junior,DevOps,Inicio/Conceptualización,1,,,,
110.08160866577646,5,13,2,3,3,3,Senior,Análisis,Transición/Implementación,1,,,,
136.0730233517971,3,2,2,3,4,4,Mid-Level,Frontend,Mantenimiento,2,3.0,4.0,,
66.76778722523558,3,5,2,3,2,1,Junior,Database,Transición/Implementación,2,1.0,2.0,,
151.93866432881165,2,5,2,1,4,5,Senior,Análisis,Construcción/Desarrollo,3,1.0,4.0,1.0,2.0
205.61601719289928,2,2,3,1,2,5,Senior,Backend,Mantenimiento,2,3.0,1.0,,
81.36102493562083,4,1,2,4,4,4,Mid-Level,Documentación,Construcción/Desarrollo,1,,,,
97.54411919932451,4,5,1,1,1,2,Senior,Análisis,Inicio/Conceptualización,1,,,,
125.0170592603513,4,2,1,2,2,4,Senior,Testing,Construcción/Desarrollo,1,,,,
154.62308605375335,1,1,3,5,3,2,Junior,Database,Inicio/Conceptualización,2,2.0,5.0,,
171.73649433762114,3,5,2,1,2,3,Junior,Análisis,Transición/Implementación,3,1.0,3.0,1.0,4.0
177.53246142688286,4,8,3,4,3,1,Junior,Análisis,Transición/Implementación,3,3.0,5.0,2.0,4.0
124.10223108056593,1,1,3,5,4,1,Junior,DevOps,Elaboración/Requisitos,1,,,,
157.12978522801865,4,21,2,1,1,4,Senior,Database,Elaboración/Requisitos,3,3.0,2.0,3.0,2.0
197.33557156700448,4,21,2,5,2,5,Junior,Documentación,Construcción/Desarrollo,3,3.0,3.0,3.0,5.0
119.1584617114921,4,13,3,5,4,5,Junior,Testing,Transición/Implementación,1,,,,
88.07335994386862,4,5,3,5,5,3,Senior,Análisis,Elaboración/Requisitos,1,,,,
159.23935553376157,3,1,1,5,5,4,Junior,Backend,Construcción/Desarrollo,3,2.0,1.0,1.0,2.0
160.62113094288551,4,8,1,1,4,4,Mid-Level,Frontend,Elaboración/Requisitos,3,3.0,1.0,2.0,1.0
151.77632855039298,4,2,2,5,5,5,Junior,Backend,Construcción/Desarrollo,2,3.0,4.0,,
145.47642744113395,2,21,1,2,2,3,Junior,Frontend,Mantenimiento,2,2.0,5.0,,
258.6137613670743,2,1,3,5,3,4,Junior,Database,Inicio/Conceptualización,3,2.0,5.0,2.0,5.0
131.72986357545005,5,21,1,3,5,2,Mid-Level,Database,Mantenimiento,2,2.0,4.0,,
157.2583674973871,1,21,1,4,4,3,Senior,DevOps,Construcción/Desarrollo,3,3.0,5.0,3.0,5.0
51.83264692337366,4,2,2,3,3,3,Junior,Análisis,Construcción/Desarrollo,1,,,,
122.93092820164144,5,21,2,3,2,3,Junior,Backend,Mantenimiento,2,1.0,3.0,,
165.72746861495344,1,5,1,5,2,4,Mid-Level,Documentación,Inicio/Conceptualización,3,1.0,4.0,1.0,4.0
147.02108544472893,4,13,2,4,2,2,Junior,Documentación,Elaboración/Requisitos,2,2.0,3.0,,
149.2952228026218,5,3,1,4,3,2,Senior,Testing,Construcción/Desarrollo,3,2.0,3.0,2.0,4.0
126.00238297209093,2,1,1,1,2,3,Mid-Level,Testing,Construcción/Desarrollo,2,2.0,4.0,,
114.02067827662083,5,21,2,3,2,2,Senior,Database,Elaboración/Requisitos,1,,,,
176.61810412488882,4,8,2,5,5,2,Mid-Level,Database,Construcción/Desarrollo,3,2.0,5.0,2.0,5.0
112.03390188210605,2,5,2,4,2,1,Junior,Backend,Mantenimiento,2,3.0,5.0,,
90.73096638206977,3,1,3,3,4,3,Mid-Level,Frontend,Construcción/Desarrollo,1,,,,
83.28785676911507,5,21,1,5,2,2,Senior,DevOps,Construcción/Desarrollo,2,2.0,5.0,,
110.77422821765278,4,5,1,1,2,4,Junior,Análisis,Transición/Implementación,2,2.0,1.0,,
136.54504184872238,4,5,2,5,3,3,Mid-Level,Database,Transición/Implementación,1,,,,
110.85798883583087,3,1,1,3,5,5,Junior,Testing,Transición/Implementación,1,,,,
118.20473197916776,4,8,3,4,5,4,Mid-Level,Documentación,Elaboración/Requisitos,2,3.0,5.0,,
223.06711453620426,1,8,3,4,3,2,Mid-Level,Frontend,Transición/Implementación,3,1.0,5.0,2.0,1.0
150.81143870705938,5,3,1,4,2,4,Mid-Level,Documentación,Mantenimiento,3,3.0,2.0,2.0,1.0
117.9391306821197,4,13,1,3,4,4,Senior,Documentación,Mantenimiento,3,1.0,2.0,1.0,2.0
137.8679741479738,1,5,3,4,1,4,Mid-Level,Database,Construcción/Desarrollo,3,1.0,1.0,1.0,2.0
102.64253464868476,5,21,2,5,1,5,Junior,DevOps,Elaboración/Requisitos,1,,,,
92.42581458944665,2,5,2,1,1,2,Senior,Análisis,Construcción/Desarrollo,1,,,,
146.18961663360878,2,21,2,1,4,4,Junior,Frontend,Inicio/Conceptualización,2,2.0,2.0,,
119.3753974173206,5,13,2,1,2,4,Junior,Database,Elaboración/Requisitos,1,,,,
63.49073947303502,3,5,3,4,4,2,Senior,Testing,Elaboración/Requisitos,2,1.0,5.0,,
141.13305710624618,2,21,2,5,4,1,Mid-Level,Testing,Construcción/Desarrollo,2,3.0,5.0,,
117.31534745013833,5,1,2,2,3,3,Junior,Database,Elaboración/Requisitos,2,1.0,2.0,,
152.58019644293987,5,21,2,4,4,2,Senior,Documentación,Inicio/Conceptualización,2,1.0,4.0,,
178.33052792459785,3,13,3,2,4,5,Junior,Frontend,Mantenimiento,3,1.0,2.0,2.0,1.0
120.98842832037218,5,5,2,1,2,4,Junior,Testing,Construcción/Desarrollo,2,3.0,4.0,,
90.40486646842497,4,3,2,3,4,3,Senior,Backend,Construcción/Desarrollo,1,,,,
146.6220968729236,2,3,3,2,4,3,Senior,Database,Elaboración/Requisitos,2,3.0,1.0,,
131.65590791980676,2,2,2,4,5,3,Junior,Database,Elaboración/Requisitos,2,2.0,3.0,,
120.15265838413305,2,21,2,3,2,3,Junior,Análisis,Elaboración/Requisitos,1,,,,
155.57765765011018,3,3,3,4,4,3,Junior,Backend,Inicio/Conceptualización,2,1.0,3.0,,
125.23851371983007,4,3,1,3,1,2,Junior,Análisis,Inicio/Conceptualización,2,1.0,4.0,,
111.00960987388247,5,8,2,3,3,4,Junior,Frontend,Mantenimiento,2,2.0,4.0,,
91.34923200087518,2,2,1,2,3,4,Mid-Level,Análisis,Elaboración/Requisitos,1,,,,
82.50562451387232,2,1,1,2,2,2,Senior,Backend,Construcción/Desarrollo,1,,,,
150.222568275124,2,8,1,2,2,5,Senior,Database,Inicio/Conceptualización,2,2.0,2.0,,
155.23502898982764,1,5,2,5,2,4,Junior,Database,Inicio/Conceptualización,3,3.0,5.0,1.0,5.0
142.2596632933094,5,3,1,2,2,3,Mid-Level,Backend,Mantenimiento,2,1.0,2.0,,
83.759638606982,4,1,1,3,2,2,Mid-Level,Backend,Transición/Implementación,1,,,,
156.81443090324746,4,21,1,1,3,3,Senior,Frontend,Transición/Implementación,2,3.0,1.0,,
110.72654942396507,4,13,2,1,5,2,Mid-Level,Testing,Transición/Implementación,2,3.0,3.0,,
155.063471874286,3,3,2,2,2,2,Mid-Level,Backend,Construcción/Desarrollo,2,3.0,2.0,,
112.94472393491682,2,8,2,2,2,2,Senior,Database,Inicio/Conceptualización,1,,,,
51.94854864789287,4,5,2,1,4,5,Mid-Level,Análisis,Transición/Implementación,2,3.0,1.0,,
185.48081301955162,2,21,2,3,5,2,Senior,Frontend,Mantenimiento,3,3.0,1.0,2.0,2.0
167.99002945261913,4,1,1,4,2,2,Junior,Documentación,Inicio/Conceptualización,3,1.0,1.0,1.0,1.0
200.0009183250178,1,5,1,5,4,2,Mid-Level,Backend,Transición/Implementación,3,1.0,5.0,1.0,5.0
131.17981202688597,5,21,2,3,2,3,Junior,Análisis,Transición/Implementación,2,1.0,2.0,,
150.813706304221,1,8,2,2,2,2,Junior,DevOps,Transición/Implementación,3,2.0,2.0,3.0,4.0
168.23849933350957,1,8,2,3,2,1,Senior,Análisis,Elaboración/Requisitos,3,2.0,2.0,2.0,4.0
119.66721245488253,4,8,3,2,4,4,Mid-Level,Database,Transición/Implementación,2,3.0,3.0,,
129.57053047720916,2,3,2,2,2,4,Senior,Testing,Elaboración/Requisitos,1,,,,
92.34507915142224,5,1,2,5,5,5,Junior,DevOps,Transición/Implementación,1,,,,
120.56669206726515,1,8,3,2,4,5,Senior,Análisis,Construcción/Desarrollo,2,3.0,1.0,,
77.88256028167476,4,21,1,4,5,5,Mid-Level,Backend,Mantenimiento,1,,,,
85.0593657993192,4,2,1,4,2,2,Mid-Level,DevOps,Mantenimiento,1,,,,
105.6793471893989,4,21,2,5,1,5,Senior,DevOps,Inicio/Conceptualización,2,3.0,5.0,,
175.813794244266,2,5,3,2,4,3,Senior,Backend,Mantenimiento,3,2.0,1.0,2.0,2.0
176.38370933290477,2,3,1,2,5,1,Junior,Frontend,Inicio/Conceptualización,2,3.0,5.0,,
150.2219332558538,4,1,1,2,3,3,Junior,Database,Transición/Implementación,2,1.0,2.0,,
172.67157426591717,4,1,2,4,2,3,Senior,Frontend,Mantenimiento,3,3.0,4.0,3.0,2.0
106.75674515981156,5,5,2,4,4,3,Mid-Level,Análisis,Transición/Implementación,1,,,,
110.47624615114458,2,8,2,3,2,1,Senior,Frontend,Mantenimiento,1,,,,
122.30385442905195,1,21,2,4,4,5,Junior,DevOps,Mantenimiento,3,2.0,4.0,2.0,5.0
90.58248869727831,2,21,1,2,3,4,Mid-Level,Database,Elaboración/Requisitos,1,,,,
156.04758773259854,2,3,3,1,2,3,Junior,Análisis,Transición/Implementación,3,3.0,1.0,2.0,1.0
171.12909978458518,4,1,1,5,2,2,Junior,DevOps,Transición/Implementación,3,1.0,5.0,1.0,5.0
123.07193532045774,2,5,3,5,2,5,Mid-Level,DevOps,Inicio/Conceptualización,1,,,,
223.86189095159156,5,2,1,2,1,2,Senior,Database,Mantenimiento,3,3.0,4.0,3.0,1.0
70.28955010656185,2,5,2,5,3,2,Senior,Documentación,Elaboración/Requisitos,1,,,,
128.2953981453367,2,3,1,1,2,3,Senior,Frontend,Mantenimiento,2,3.0,1.0,,
131.47251561529066,1,5,1,4,2,2,Junior,Documentación,Construcción/Desarrollo,3,3.0,3.0,3.0,1.0
99.79183513014995,4,2,2,3,3,3,Senior,Database,Elaboración/Requisitos,2,2.0,2.0,,
143.88948675203966,3,5,2,5,4,2,Senior,Documentación,Transición/Implementación,2,1.0,5.0,,
134.5793915770131,4,5,1,2,2,1,Senior,Testing,Elaboración/Requisitos,3,3.0,1.0,1.0,2.0
134.22664256626064,4,1,1,2,3,3,Mid-Level,DevOps,Elaboración/Requisitos,3,3.0,2.0,3.0,1.0
179.11117124095418,5,2,3,2,5,3,Senior,Database,Mantenimiento,3,3.0,3.0,3.0,3.0
119.48461179381528,3,1,1,1,3,5,Senior,Database,Mantenimiento,1,,,,
69.41339306171295,4,2,1,3,4,1,Junior,DevOps,Elaboración/Requisitos,1,,,,
88.76705226387476,4,21,2,5,4,2,Senior,Análisis,Inicio/Conceptualización,2,1.0,5.0,,
206.99612868210193,1,3,3,3,3,4,Senior,Análisis,Elaboración/Requisitos,3,1.0,4.0,1.0,5.0
115.00860359791176,1,2,2,4,3,3,Junior,Database,Mantenimiento,3,1.0,3.0,1.0,2.0
99.24301120196199,1,13,1,2,4,2,Junior,DevOps,Mantenimiento,1,,,,
135.73010468148019,2,21,3,3,3,4,Junior,Testing,Transición/Implementación,2,3.0,2.0,,
117.86857514260637,3,21,2,4,4,1,Junior,Arquitectura,Elaboración/Requisitos,2,3.0,5.0,,
114.94732214443701,2,13,2,2,3,5,Mid-Level,DevOps,Construcción/Desarrollo,2,2.0,1.0,,
