idrequerimiento,complejidad,prioridad,tipo_tarea,duracion
1339,4,3,backend,11.9
3693,2,2,deployment,2.4
1492,1,1,deployment,1.5
3552,4,2,database,16.8
4417,1,1,testing,3.7
868,3,1,backend,12.9
2135,4,3,testing,5.9
131,3,3,deployment,2.4
3242,1,1,backend,8.4
1916,4,2,frontend,10.2
850,1,2,deployment,2.3
3395,4,3,backend,11.8
125,5,1,database,22.0
4810,4,2,backend,13.7
4591,2,2,database,11.6
3955,4,1,database,18.8
3576,2,3,database,10.0
1563,3,3,database,12.7
4907,2,1,frontend,7.9
1613,4,2,backend,14.1
3747,1,2,backend,7.3
3847,3,2,database,14.3
3258,2,3,frontend,6.2
1176,3,1,backend,12.5
1622,3,2,backend,11.4
2279,2,1,backend,10.5
2123,5,3,backend,14.3
3359,5,3,deployment,3.7
2171,5,2,deployment,4.1
945,2,3,database,10.8
4059,2,1,database,13.4
3172,1,1,testing,4.3
2439,5,2,testing,7.9
1953,3,2,database,14.2
875,2,3,database,10.3
1731,4,2,database,17.3
318,5,1,backend,17.8
730,1,1,database,10.0
4278,1,3,deployment,1.9
1139,3,2,backend,11.2
2966,4,2,deployment,3.7
1990,3,2,deployment,2.6
4769,1,1,database,10.1
815,2,3,frontend,6.1
831,3,2,frontend,8.6
1207,5,3,frontend,10.6
4646,3,1,database,16.1
3787,4,1,database,19.3
3599,3,2,frontend,8.9
4688,1,2,database,8.6
4671,4,3,frontend,9.5
2897,2,1,deployment,2.9
4082,2,2,backend,9.4
3879,2,3,frontend,6.2
2675,2,2,backend,9.6
3313,3,2,database,14.5
4983,2,2,deployment,2.0
4648,5,3,testing,7.3
2982,1,1,database,9.9
502,3,1,testing,5.9
210,1,1,deployment,2.2
4539,5,3,testing,7.5
1331,5,3,deployment,3.7
431,2,2,database,11.7
3627,1,2,database,8.6
2523,1,3,backend,6.0
479,3,2,frontend,8.3
1026,1,1,testing,4.3
537,5,3,deployment,3.6
3738,2,2,testing,5.1
3036,3,1,database,16.2
4438,4,1,database,19.1
4719,1,2,backend,7.4
4199,1,1,testing,4.2
4629,3,1,database,16.2
633,5,3,testing,6.7
1177,1,1,testing,4.4
626,5,1,deployment,4.1
4899,2,1,backend,10.9
4970,4,2,testing,6.3
51,2,3,testing,4.1
152,4,2,frontend,10.0
984,5,1,database,21.7
1134,5,2,frontend,12.3
3066,3,1,testing,6.4
4139,5,3,database,17.2
2517,4,2,frontend,10.0
486,2,1,deployment,2.8
3178,1,3,database,7.8
4845,1,2,database,8.9
2682,3,2,testing,6.2
3913,5,2,backend,16.1
3213,3,3,frontend,7.5
2231,2,1,backend,10.0
1011,3,2,deployment,3.0
4621,5,3,deployment,4.0
2665,2,2,database,11.6
2995,1,3,backend,6.7
1215,4,2,database,16.7
2825,1,1,database,10.2
3510,2,2,frontend,6.6
1480,5,2,deployment,4.4
1249,2,3,database,10.1
1449,4,3,deployment,3.5
909,5,1,database,22.4
3320,1,2,backend,7.7
1248,3,2,frontend,8.6
1620,5,2,frontend,12.0
1194,1,3,database,8.3
4243,3,2,testing,5.7
2360,1,2,frontend,5.7
2001,3,3,backend,9.9
2535,4,3,testing,5.7
864,1,3,deployment,1.7
2388,3,1,testing,6.0
2900,2,2,deployment,2.2
3437,4,1,frontend,11.6
3573,2,1,deployment,2.8
1257,3,1,frontend,9.5
1412,3,3,deployment,2.2
3704,2,3,database,10.2
3383,2,2,testing,4.6
3877,2,3,backend,8.7
3832,1,3,backend,6.5
555,1,3,backend,6.4
297,2,2,database,12.2
1218,1,1,database,10.2
2023,4,2,frontend,10.0
3859,3,3,frontend,8.0
329,1,2,deployment,1.8
3298,5,1,testing,9.3
891,4,1,testing,7.8
3806,1,1,database,10.2
506,4,1,frontend,11.4
4126,4,1,deployment,3.4
601,3,1,frontend,9.9
4557,5,2,testing,8.3
2778,5,1,database,21.7
1805,2,1,deployment,3.0
4053,4,3,backend,12.7
4629,1,3,database,8.4
997,4,1,backend,15.1
3526,5,2,database,19.5
4707,2,2,frontend,6.7
4,5,2,frontend,11.9
3223,4,3,testing,5.7
1232,5,2,backend,15.4
4208,4,2,deployment,3.2
3209,5,1,testing,8.9
747,1,1,database,9.7
2611,1,3,database,8.5
3831,2,3,database,10.6
4161,4,1,testing,7.4
3535,1,1,backend,8.2
2581,4,3,backend,12.0
374,4,1,deployment,3.5
1298,5,3,deployment,3.2
3795,1,2,database,8.9
33,2,2,frontend,6.6
855,5,3,deployment,3.4
2321,4,3,database,15.2
2278,1,3,database,8.1
3869,5,1,frontend,13.4
1674,5,1,deployment,4.1
1499,3,3,frontend,7.7
3758,5,3,database,17.9
1568,3,1,frontend,9.2
3778,2,2,database,11.2
2276,1,2,backend,7.6
4891,2,2,backend,9.2
815,3,2,backend,11.2
620,3,3,backend,10.5
4748,1,3,backend,6.8
2605,5,3,deployment,3.8
3907,4,1,testing,7.8
1431,3,1,deployment,3.0
3152,1,3,deployment,1.9
1574,2,1,testing,5.3
4026,5,2,testing,8.0
3542,5,1,backend,17.5
1725,4,2,testing,6.7
3170,5,2,deployment,4.0
485,4,1,frontend,11.2
437,3,2,database,14.6
1405,5,1,database,22.4
4118,4,3,frontend,9.4
2308,2,2,testing,4.8
3034,4,3,frontend,9.2
1767,2,2,database,11.8
1226,1,1,testing,4.1
3601,3,1,frontend,9.5
2656,4,1,deployment,3.8
1235,4,1,backend,15.2
76,1,2,database,9.1
3380,3,3,frontend,8.1
866,4,1,database,19.2
2901,4,2,testing,7.0
648,5,1,database,21.6
1126,5,1,deployment,4.5
2684,2,2,deployment,2.4
3601,3,2,testing,5.4
4866,1,2,testing,3.7
231,5,1,backend,18.0
1102,3,3,testing,5.0
862,2,3,deployment,2.2
1006,3,3,testing,5.6
1253,3,3,frontend,7.8
4818,1,1,deployment,2.3
712,1,1,backend,7.8
3515,3,2,deployment,3.3
4756,3,1,database,16.4
1044,4,3,frontend,8.8
3971,2,3,testing,4.3
1717,5,2,frontend,12.0
4498,1,2,database,8.5
2218,3,3,frontend,8.0
1204,2,3,database,10.0
3149,4,1,frontend,11.4
1873,1,1,testing,3.9
2166,1,2,deployment,2.2
258,5,3,backend,13.8
1421,5,1,deployment,4.1
1977,1,3,backend,6.8
3736,1,3,testing,3.1
536,2,1,backend,10.3
1041,5,3,backend,14.2
4603,5,3,deployment,3.4
1999,4,3,frontend,9.2
1025,3,2,deployment,3.2
2021,1,3,database,8.4
3279,2,1,database,12.8
704,1,1,database,9.8
3386,2,2,frontend,6.5
3924,1,1,frontend,6.2
843,5,3,database,17.8
78,1,1,testing,4.5
159,2,3,testing,3.9
583,1,3,backend,6.3
417,4,3,database,14.8
98,1,1,testing,4.2
3736,4,3,backend,12.1
4368,1,2,frontend,5.1
4197,5,2,database,20.1
1371,5,3,deployment,3.6
159,3,2,backend,11.6
4704,4,3,testing,5.6
3873,1,1,deployment,1.8
318,4,1,testing,7.3
4022,4,3,backend,11.8
2036,1,3,deployment,1.4
2411,5,1,deployment,4.8
4395,3,3,database,12.9
87,5,3,deployment,3.2
1934,2,1,testing,5.2
4180,3,3,backend,10.5
1619,1,3,deployment,1.6
4641,4,1,database,19.0
2482,3,1,frontend,9.5
1782,1,2,frontend,5.2
3107,1,3,database,7.8
3624,3,2,deployment,2.8
2208,4,3,database,15.0
4105,3,1,database,15.5
3878,3,2,deployment,3.2
4842,4,3,frontend,8.7
4766,3,2,deployment,2.5
2793,1,1,database,9.9
249,1,1,database,10.3
4276,1,3,deployment,1.6
1517,3,3,testing,5.2
4882,2,2,testing,4.4
3025,4,1,backend,15.4
4343,3,2,frontend,8.8
3214,5,3,testing,7.1
456,1,1,frontend,5.9
1048,2,3,frontend,6.0
3855,3,1,deployment,3.1
4747,1,3,database,8.5
4459,4,1,testing,7.2
2052,1,3,testing,3.1
2185,4,2,testing,6.7
3687,1,2,database,9.1
2106,2,1,backend,10.3
1014,1,1,frontend,5.5
4616,2,3,deployment,1.9
2184,3,3,deployment,2.6
1857,2,1,testing,5.0
393,4,3,testing,6.3
3312,2,1,backend,10.3
2110,5,3,database,17.8
2715,5,2,database,19.3
2485,4,3,frontend,8.8
4375,1,1,testing,4.5
4030,1,2,frontend,5.4
2696,4,2,backend,13.7
4420,1,1,frontend,6.0
3211,2,3,frontend,6.4
2267,3,1,deployment,3.5
1939,3,1,backend,12.9
2985,3,1,database,16.3
1276,5,1,backend,17.5
1413,5,3,backend,13.9
4912,1,2,database,9.0
3081,2,1,deployment,2.7
2748,5,3,testing,7.3
3267,5,3,backend,14.0
2395,1,3,backend,6.7
2121,2,3,database,10.2
1100,2,3,database,10.2
375,4,2,backend,14.0
3875,3,3,backend,10.5
1551,2,1,frontend,7.6
1368,3,3,frontend,7.9
1080,2,3,deployment,2.0
735,1,3,backend,6.8
3560,5,3,database,17.3
1045,4,1,deployment,3.6
3297,3,2,testing,5.4
3311,5,3,testing,6.9
4272,2,2,testing,4.8
55,2,3,frontend,6.0
4068,1,2,testing,3.5
2574,2,1,database,13.4
127,3,2,backend,11.9
1876,4,3,backend,12.0
3521,2,2,deployment,2.7
2737,3,3,backend,10.1
3993,4,2,deployment,3.3
1809,1,3,deployment,1.6
3625,4,3,deployment,3.4
4270,4,1,backend,15.4
1303,1,2,database,8.9
3127,4,2,database,17.4
4764,5,2,deployment,3.6
1434,2,3,testing,4.5
4597,5,3,deployment,3.2
3598,5,2,backend,15.8
3684,5,2,frontend,12.2
4535,2,2,deployment,2.2
4509,4,1,deployment,4.2
3042,5,1,frontend,12.8
3760,3,2,database,14.8
374,1,3,database,8.4
1454,2,3,frontend,6.7
2659,5,3,deployment,3.2
653,4,3,backend,12.0
4156,5,1,deployment,4.2
4933,5,1,backend,17.7
1952,2,2,frontend,6.8
3906,2,1,backend,10.7
4642,5,2,database,19.9
3535,2,2,backend,9.7
4259,2,3,database,10.1
3061,4,1,testing,7.8
3085,3,2,backend,11.4
3119,5,1,frontend,13.1
1246,5,3,deployment,3.1
585,4,2,backend,14.0
3762,1,2,frontend,5.7
2696,4,3,deployment,2.6
4907,5,2,deployment,4.4
4145,3,1,backend,12.8
2882,5,1,deployment,4.7
1590,2,1,database,12.8
4343,1,1,deployment,1.6
2082,5,3,frontend,10.6
2709,1,1,deployment,1.9
1717,2,2,backend,9.4
2342,5,1,deployment,4.0
3378,1,2,deployment,1.9
128,1,3,deployment,1.7
3035,2,3,database,10.0
2829,1,2,backend,7.4
1950,5,3,frontend,10.6
2319,3,3,frontend,7.3
2946,3,2,database,14.0
2828,1,3,testing,3.0
2885,1,2,testing,3.8
1766,5,1,testing,9.2
2452,1,1,testing,3.8
1673,4,1,backend,15.6
693,5,2,testing,7.9
2604,4,3,frontend,8.7
1641,4,1,backend,14.9
379,5,3,frontend,10.7
1581,5,3,database,18.1
1012,5,2,frontend,11.8
3678,1,1,database,10.0
1730,4,2,backend,14.1
364,4,2,database,16.9
429,4,3,frontend,9.2
3466,4,1,backend,15.0
4673,4,2,backend,13.4
3638,4,2,frontend,10.2
351,4,1,testing,7.2
4693,5,3,backend,14.1
3654,1,1,testing,4.3
1609,4,1,database,19.0
3018,1,2,database,8.7
4045,4,1,database,18.8
2227,5,2,deployment,4.4
1146,5,3,testing,7.3
1842,4,3,database,15.3
2134,3,3,database,13.2
2550,5,3,database,18.1
1996,3,2,database,14.8
3870,4,1,backend,15.2
1692,2,2,testing,5.1
1328,1,3,deployment,2.0
4952,5,1,testing,8.3
2025,3,2,backend,11.8
3127,3,3,database,12.9
1745,1,3,backend,6.2
3638,3,3,deployment,2.3
4256,4,2,backend,13.2
389,1,1,backend,8.4
4156,4,1,database,19.3
3946,5,2,testing,8.4
3897,2,2,backend,9.1
4238,3,3,database,12.8
2937,1,2,backend,7.0
2215,5,1,backend,18.0
4329,3,2,deployment,2.7
4792,1,3,testing,3.0
533,2,1,frontend,7.6
2932,1,2,backend,6.9
1085,4,1,frontend,11.1
4907,2,2,frontend,6.8
1142,4,2,testing,6.3
3808,4,3,frontend,8.8
3235,2,2,database,11.8
4824,1,2,deployment,1.6
1368,2,3,frontend,6.2
1058,3,1,deployment,3.3
1014,1,2,frontend,5.1
1151,3,2,testing,5.3
2344,2,2,database,11.2
2515,3,1,deployment,3.3
2187,2,3,backend,8.6
1889,3,1,database,15.9
4685,4,1,deployment,4.1
4305,4,2,backend,13.6
2463,2,2,backend,9.2
2433,4,2,testing,7.2
2764,5,3,deployment,3.8
4490,2,2,testing,4.7
6,5,1,deployment,4.6
3083,2,1,testing,5.1
2886,1,1,testing,4.4
3675,1,1,database,10.4
1270,2,1,frontend,7.7
2859,3,1,backend,12.7
3110,1,1,database,10.2
4964,2,3,database,10.4
4589,5,1,deployment,4.0
4939,4,2,testing,6.6
1284,5,3,backend,14.0
4051,1,1,database,9.8
2288,3,2,frontend,8.3
1444,5,1,deployment,4.2
4938,2,3,testing,4.3
2304,1,3,backend,6.6
534,5,2,backend,16.2
1294,5,1,database,22.1
91,1,1,database,10.0
3116,1,1,testing,3.8
457,2,2,testing,5.0
4631,4,1,frontend,11.1
2215,4,2,frontend,10.1
1480,4,3,testing,6.2
240,3,3,deployment,2.5
3623,4,2,database,17.4
1260,5,3,testing,6.7
484,5,1,testing,8.7
2040,5,3,frontend,10.1
746,4,1,deployment,4.2
4716,1,3,deployment,1.2
210,1,3,testing,3.3
2468,5,2,deployment,3.6
804,4,1,frontend,11.6
2653,2,1,backend,10.1
2350,1,2,backend,7.5
2703,2,1,frontend,7.6
2650,4,1,frontend,11.1
4460,4,3,deployment,3.1
2920,5,2,frontend,11.9
238,4,3,frontend,9.4
3689,4,2,database,16.9
3055,5,2,frontend,12.3
1853,1,1,deployment,1.7
1197,5,3,frontend,10.1
1338,2,1,backend,10.1
2081,3,2,frontend,9.0
178,2,2,backend,9.5
3549,5,3,database,17.7
4948,2,2,database,11.9
1822,3,3,database,12.5
2818,2,1,deployment,2.6
3947,5,1,database,22.0
193,4,3,database,15.6
1647,5,1,database,22.2
3386,3,3,database,12.9
4809,5,2,frontend,12.1
725,5,2,deployment,3.8
3684,5,1,frontend,13.0
3842,4,2,database,17.5
580,1,3,frontend,4.9
4630,5,2,testing,8.0
665,5,3,frontend,10.3
1760,2,2,testing,4.6
1785,5,3,testing,7.3
3453,2,1,database,13.1
3224,4,3,database,14.7
3349,4,2,backend,13.6
93,1,2,database,9.2
2855,4,3,deployment,2.7
3938,5,1,frontend,13.6
3938,3,2,backend,11.1
4905,2,3,backend,8.6
4570,3,3,deployment,2.3
4659,3,3,backend,10.5
1384,2,3,frontend,6.6
3722,2,2,testing,4.5
1602,1,3,database,7.7
2767,5,2,database,20.0
1259,5,2,database,19.7
1857,3,1,database,15.6
4350,1,1,frontend,6.4
3366,1,3,deployment,1.2
1671,2,3,deployment,1.6
1767,3,2,database,14.3
2824,3,3,database,12.8
1364,5,2,database,20.2
812,1,1,testing,3.6
3188,3,1,testing,6.3
302,4,2,testing,6.5
1239,5,1,frontend,13.6
2732,1,2,database,9.2
574,2,2,database,11.9
2323,4,1,frontend,11.1
716,1,2,deployment,2.1
4517,4,3,database,14.7
2990,4,2,frontend,10.3
4858,2,2,database,11.9
2384,2,3,backend,8.6
3523,5,1,database,22.2
875,3,3,deployment,2.5
40,1,1,testing,3.7
2952,5,1,database,22.0
4472,5,3,testing,7.0
3633,5,3,deployment,3.6
2570,1,3,deployment,1.8
2043,4,3,backend,12.4
3899,3,3,frontend,7.3
4914,5,2,deployment,4.1
1441,3,1,frontend,9.8
3751,3,3,deployment,2.8
570,2,2,testing,4.5
3159,5,1,backend,18.0
4911,4,1,deployment,3.3
4642,3,2,deployment,3.3
4725,1,1,database,10.3
33,2,1,database,12.8
1523,3,2,frontend,8.3
1972,3,3,backend,10.7
1677,3,2,backend,11.6
4984,4,3,database,15.1
3278,1,1,deployment,1.6
3723,5,2,frontend,11.4
2161,4,3,frontend,8.9
3900,4,1,deployment,3.6
4083,5,3,database,17.7
3298,3,2,database,14.7
2831,4,1,database,18.6
2986,2,1,deployment,2.4
3819,3,1,testing,6.6
3437,5,1,database,21.9
970,2,2,deployment,2.2
2763,3,3,database,13.2
2823,2,2,deployment,2.7
3587,2,1,database,12.6
4778,2,3,backend,7.9
2771,4,3,frontend,9.0
3716,5,2,deployment,4.1
3955,3,2,testing,5.4
723,2,2,backend,9.0
3509,4,2,deployment,3.5
1460,3,3,deployment,2.2
4635,4,1,testing,7.3
721,4,3,backend,12.2
3268,1,3,frontend,4.4
1517,2,1,deployment,2.9
1596,5,1,deployment,4.4
2871,5,2,backend,15.6
258,3,1,deployment,3.3
4997,4,1,database,19.4
858,4,3,database,14.8
1590,2,2,frontend,6.9
1624,1,1,deployment,2.4
2749,4,1,frontend,11.4
140,2,2,testing,4.7
868,2,1,testing,5.4
1259,1,2,deployment,1.3
4119,3,3,testing,5.5
4857,3,2,testing,5.3
3998,4,2,backend,13.3
3806,2,3,testing,4.3
86,1,3,deployment,1.5
2790,4,2,frontend,10.5
4971,3,2,deployment,2.7
3594,1,3,frontend,5.1
544,4,3,database,15.0
328,4,2,testing,6.4
44,2,2,deployment,2.3
2256,2,1,backend,10.2
2468,3,3,backend,9.8
3582,3,3,testing,5.2
3064,2,3,deployment,2.6
4382,2,1,frontend,7.9
4434,5,1,deployment,4.9
3225,2,2,testing,4.7
1668,2,3,backend,8.1
1637,1,3,backend,6.2
3400,3,2,testing,5.8
2514,3,1,deployment,2.8
1357,1,1,testing,3.6
1268,2,2,backend,9.3
2085,4,1,database,18.8
4436,4,3,frontend,9.5
154,1,1,backend,8.0
2982,3,3,database,12.8
4119,3,2,database,14.8
4767,5,3,testing,6.6
3222,3,3,frontend,7.5
2218,5,2,testing,7.8
2562,2,3,testing,3.7
3338,3,2,deployment,2.6
163,1,1,backend,7.5
4876,5,1,backend,17.5
3786,1,2,deployment,1.5
2865,1,2,deployment,2.2
3884,1,2,deployment,1.9
3693,1,3,deployment,1.4
4483,5,1,deployment,4.3
1965,2,3,testing,4.2
2718,5,2,deployment,3.6
1376,4,2,testing,6.4
4700,5,2,backend,15.4
4331,4,2,frontend,10.2
41,4,1,testing,7.3
4993,4,2,database,16.8
90,1,2,testing,4.1
1302,5,3,database,18.1
2861,5,1,deployment,4.4
2540,3,3,testing,5.1
2053,5,1,backend,17.2
3189,3,1,frontend,9.5
2485,5,2,database,19.4
2126,3,3,backend,10.5
3379,1,2,deployment,1.8
2031,3,1,backend,12.7
2046,1,3,frontend,4.9
2820,4,2,backend,14.1
53,1,1,backend,8.1
923,2,2,testing,4.3
2673,2,2,testing,4.7
3596,5,1,database,22.1
1716,2,1,backend,10.6
1838,4,3,database,15.5
4665,5,2,deployment,3.8
3319,4,2,testing,6.4
242,2,3,backend,8.0
1866,2,2,frontend,6.6
3684,1,1,frontend,6.2
2356,5,1,database,22.0
1739,1,3,backend,6.9
3805,3,2,database,14.5
3020,2,2,deployment,1.8
1032,2,3,deployment,1.9
2039,1,2,database,8.8
1192,4,1,deployment,3.5
4289,2,1,testing,5.1
2711,5,1,frontend,13.7
3570,2,2,backend,8.9
4348,1,1,testing,4.3
309,3,3,backend,9.9
816,2,3,database,10.7
4616,1,1,database,10.5
3233,3,1,deployment,3.6
2258,5,1,deployment,4.0
782,3,2,deployment,2.6
4032,2,3,backend,8.8
3903,3,2,frontend,8.8
638,1,2,testing,3.5
3114,1,1,database,10.2
4138,1,2,database,9.5
4556,1,1,backend,8.1
1191,2,1,deployment,2.2
800,5,2,testing,7.8
3231,5,1,frontend,13.4
352,4,1,testing,7.3
1853,3,1,testing,6.9
1352,1,1,database,10.0
1711,2,1,database,13.2
2320,2,3,testing,3.9
1205,3,1,frontend,9.2
810,5,2,frontend,12.2
3410,4,1,deployment,4.0
280,4,3,deployment,3.3
4391,2,1,deployment,2.8
293,3,1,testing,6.2
4459,2,3,backend,8.7
4634,4,2,frontend,10.0
2090,5,1,deployment,4.8
4788,4,3,frontend,8.6
1012,3,1,database,16.2
2131,5,3,database,18.0
2732,2,3,testing,3.7
2542,3,3,backend,10.4
751,3,1,backend,12.3
2634,5,2,frontend,11.8
1740,2,3,frontend,6.1
3871,3,3,testing,5.4
101,5,2,deployment,3.9
122,5,2,deployment,4.4
2574,2,2,deployment,2.2
297,5,1,testing,9.1
2108,4,1,backend,15.2
1778,1,3,frontend,5.0
4479,1,3,frontend,4.7
692,4,2,testing,6.8
1801,4,3,database,15.5
1173,2,2,frontend,7.2
1024,5,1,testing,9.0
1046,1,1,database,9.6
368,2,2,testing,4.5
3078,1,1,frontend,6.5
1873,2,1,database,12.5
1892,3,2,deployment,2.7
4866,5,3,frontend,10.1
4707,1,3,backend,6.8
1854,2,2,frontend,7.4
539,4,3,backend,11.7
4556,4,1,database,19.0
3213,3,2,frontend,8.4
1437,5,1,backend,17.5
2842,5,2,frontend,11.7
400,1,2,deployment,2.2
4797,2,1,database,13.3
2160,4,2,deployment,3.0
1353,3,3,frontend,8.0
2260,5,3,frontend,10.6
3869,3,1,backend,13.0
4751,2,1,deployment,3.0
919,2,1,backend,10.7
2654,5,2,deployment,3.9
2278,2,1,backend,10.0
2497,1,2,testing,4.1
3067,1,1,deployment,1.5
4910,2,2,frontend,7.1
4057,4,3,database,15.5
3829,5,2,database,20.1
3677,4,1,deployment,3.8
3857,1,1,database,9.6
576,4,2,backend,14.0
2711,3,1,database,15.5
1002,2,3,backend,8.1
1889,1,1,testing,4.3
3209,4,1,database,19.4
4267,3,2,deployment,3.2
1320,3,1,frontend,10.1
3122,1,3,testing,3.1
4776,5,1,database,21.9
3510,5,1,backend,17.7
2014,1,2,deployment,1.7
4826,2,2,deployment,2.1
4266,2,1,testing,5.1
3551,3,3,deployment,2.8
3969,3,1,backend,12.4
2162,4,3,deployment,3.1
1885,3,2,database,14.3
1035,3,1,testing,6.5
4412,2,2,backend,9.2
1354,1,3,backend,6.4
1484,3,3,backend,10.3
2019,3,1,frontend,9.9
4142,3,3,database,13.2
1805,1,3,deployment,1.3
2861,3,1,testing,6.6
1907,3,3,database,13.2
1090,1,1,deployment,2.2
3560,3,3,testing,5.4
1702,5,1,backend,17.2
1411,5,2,database,20.2
210,4,3,testing,6.1
596,4,1,backend,15.0
4598,4,3,database,15.1
2805,4,3,backend,11.7
455,2,2,database,12.2
24,4,1,backend,15.3
2172,3,2,frontend,8.9
2669,5,3,database,17.1
2226,4,1,frontend,11.8
2914,4,1,testing,7.6
3475,1,3,testing,3.3
3688,5,2,testing,8.0
3697,1,3,database,7.8
3323,5,3,backend,13.8
3593,5,3,frontend,10.9
3214,5,3,testing,7.2
3310,5,3,testing,6.6
2918,1,1,frontend,6.0
1261,5,1,backend,18.0
2686,3,3,testing,5.2
1037,2,3,database,10.4
1051,4,2,backend,14.1
1331,4,2,deployment,3.5
2695,2,2,testing,4.7
3916,5,1,testing,8.9
853,2,1,deployment,2.6
505,3,1,database,16.1
2582,4,1,backend,15.1
595,4,1,frontend,11.3
3765,1,1,testing,4.3
401,3,1,database,16.0
4695,1,3,testing,3.2
1615,2,2,backend,9.3
1823,2,3,deployment,2.0
640,5,2,database,19.3
701,5,2,testing,7.6
480,1,2,backend,6.9
1777,1,2,testing,3.4
3887,3,2,deployment,2.5
1938,1,3,deployment,1.2
4480,3,2,testing,5.9
3826,5,2,backend,15.7
1296,4,3,database,14.8
2394,4,1,frontend,11.8
2699,5,3,testing,7.4
4667,5,1,frontend,13.7
4370,4,1,deployment,4.1
2165,3,1,frontend,9.8
4873,2,3,testing,4.1
2490,3,2,database,14.5
1440,5,1,backend,18.0
1811,4,1,deployment,3.8
2554,3,3,testing,4.9
1270,1,1,frontend,6.1
1002,3,2,deployment,2.7
2384,5,2,frontend,12.1
188,3,3,frontend,7.4
